ogbn-arxiv,8192,nbr,10000000,
Epoch 00053 | Loss 0.3080 | Accuracy 0.9076 
Epoch 00054 | Loss 0.3116 | Accuracy 0.9052 
Epoch 00055 | Loss 0.3110 | Accuracy 0.9098 
Epoch 00056 | Loss 0.3118 | Accuracy 0.9102 
Epoch 00057 | Loss 0.3049 | Accuracy 0.9117 
Epoch 00058 | Loss 0.3070 | Accuracy 0.9093 
Epoch 00059 | Loss 0.3105 | Accuracy 0.9095 
Epoch 00060 | Loss 0.3133 | Accuracy 0.9124 
Epoch 00061 | Loss 0.3034 | Accuracy 0.9124 
Epoch 00062 | Loss 0.3065 | Accuracy 0.9106 
Epoch 00063 | Loss 0.3042 | Accuracy 0.9125 
Epoch 00064 | Loss 0.3055 | Accuracy 0.9087 
Epoch 00065 | Loss 0.3077 | Accuracy 0.9093 
Epoch 00066 | Loss 0.3088 | Accuracy 0.9087 
Epoch 00067 | Loss 0.3195 | Accuracy 0.9068 
Epoch 00068 | Loss 0.3104 | Accuracy 0.9105 
Epoch 00069 | Loss 0.3040 | Accuracy 0.9096 
Epoch 00070 | Loss 0.3032 | Accuracy 0.9103 
Epoch 00071 | Loss 0.3057 | Accuracy 0.9097 
Epoch 00072 | Loss 0.3059 | Accuracy 0.9106 
Epoch 00073 | Loss 0.3025 | Accuracy 0.9118 
Epoch 00074 | Loss 0.3038 | Accuracy 0.9132 
Epoch 00075 | Loss 0.3037 | Accuracy 0.9074 
Epoch 00076 | Loss 0.3073 | Accuracy 0.9085 
Epoch 00077 | Loss 0.3077 | Accuracy 0.9102 
Epoch 00078 | Loss 0.3065 | Accuracy 0.9052 
Epoch 00079 | Loss 0.3124 | Accuracy 0.9102 
Epoch 00080 | Loss 0.3109 | Accuracy 0.9107 
Epoch 00081 | Loss 0.3050 | Accuracy 0.9079 
Epoch 00082 | Loss 0.3157 | Accuracy 0.9089 
Epoch 00083 | Loss 0.3073 | Accuracy 0.9114 
Epoch 00084 | Loss 0.3044 | Accuracy 0.9106 
Epoch 00085 | Loss 0.3078 | Accuracy 0.9103 
Epoch 00086 | Loss 0.3062 | Accuracy 0.9082 
Epoch 00087 | Loss 0.3082 | Accuracy 0.9103 
Epoch 00088 | Loss 0.3068 | Accuracy 0.9104 
Epoch 00089 | Loss 0.3064 | Accuracy 0.9119 
Epoch 00090 | Loss 0.3051 | Accuracy 0.9117 
Epoch 00091 | Loss 0.3060 | Accuracy 0.9116 
Epoch 00092 | Loss 0.3059 | Accuracy 0.9122 
Epoch 00093 | Loss 0.3016 | Accuracy 0.9087 
Epoch 00094 | Loss 0.3092 | Accuracy 0.9117 
