Epoch 00043 | Loss 0.3025 | Accuracy 0.9002 
Epoch 00042 | Loss 0.3318 | Accuracy 0.8804 
Epoch 00041 | Loss 0.3994 | Accuracy 0.8944 
Epoch 00040 | Loss 0.3085 | Accuracy 0.9004 
Epoch 00039 | Loss 0.3625 | Accuracy 0.9010 
Epoch 00038 | Loss 0.3559 | Accuracy 0.8995 
Epoch 00037 | Loss 0.3208 | Accuracy 0.8955 
Epoch 00036 | Loss 0.3371 | Accuracy 0.8988 
Epoch 00035 | Loss 0.3167 | Accuracy 0.8980 
Epoch 00034 | Loss 0.3424 | Accuracy 0.8986 
Epoch 00033 | Loss 0.3269 | Accuracy 0.8980 
Epoch 00032 | Loss 0.3005 | Accuracy 0.8995 
Epoch 00031 | Loss 0.3112 | Accuracy 0.8991 
Epoch 00030 | Loss 0.3117 | Accuracy 0.9008 
Epoch 00029 | Loss 0.3057 | Accuracy 0.9002 
Epoch 00028 | Loss 0.3242 | Accuracy 0.8985 
Epoch 00027 | Loss 0.3219 | Accuracy 0.8996 
Epoch 00026 | Loss 0.2910 | Accuracy 0.9044 
Epoch 00025 | Loss 0.2965 | Accuracy 0.9027 
Epoch 00024 | Loss 0.3171 | Accuracy 0.8978 
Epoch 00023 | Loss 0.3653 | Accuracy 0.9001 
Epoch 00022 | Loss 0.3241 | Accuracy 0.8984 
Epoch 00021 | Loss 0.3573 | Accuracy 0.8974 
Epoch 00020 | Loss 0.3389 | Accuracy 0.8962 
Epoch 00019 | Loss 0.3073 | Accuracy 0.9003 
Epoch 00018 | Loss 0.3493 | Accuracy 0.8910 
Epoch 00017 | Loss 0.4439 | Accuracy 0.8874 
Epoch 00016 | Loss 0.3735 | Accuracy 0.8931 
Epoch 00015 | Loss 0.3250 | Accuracy 0.8976 
Epoch 00014 | Loss 0.3095 | Accuracy 0.9012 
Epoch 00013 | Loss 0.2946 | Accuracy 0.9021 
Epoch 00012 | Loss 0.2842 | Accuracy 0.9048 
Epoch 00011 | Loss 0.2810 | Accuracy 0.9045 
Epoch 00010 | Loss 0.2864 | Accuracy 0.9047 
Epoch 00009 | Loss 0.2882 | Accuracy 0.9053 
Epoch 00008 | Loss 0.2780 | Accuracy 0.9054 
Epoch 00007 | Loss 0.2699 | Accuracy 0.9063 
Epoch 00006 | Loss 0.2710 | Accuracy 0.9059 
Epoch 00005 | Loss 0.2900 | Accuracy 0.9050 
Epoch 00004 | Loss 0.3073 | Accuracy 0.9043 
Epoch 00003 | Loss 0.2840 | Accuracy 0.9046 
Epoch 00002 | Loss 0.2767 | Accuracy 0.9060 
Epoch 00001 | Loss 0.2752 | Accuracy 0.9042 
Epoch 00000 | Loss 0.2761 | Accuracy 0.9059 
Test Accuracy 0.7675
2024-11-09 00:58:05 Dataset ogbn-products, Batch size 8192, Hybrid 1, Epochs 0

Epoch 00100 | Loss 1.3556 | Accuracy 0.8525 
Epoch 00098 | Loss 0.4813 | Accuracy 0.8770 
Epoch 00097 | Loss 0.4083 | Accuracy 0.8803 
Epoch 00096 | Loss 0.3817 | Accuracy 0.8945 
Epoch 00095 | Loss 0.3453 | Accuracy 0.8975 
Epoch 00094 | Loss 0.3273 | Accuracy 0.8986 
Epoch 00093 | Loss 0.3174 | Accuracy 0.9000 
Epoch 00092 | Loss 0.3075 | Accuracy 0.9020 
Epoch 00091 | Loss 0.3006 | Accuracy 0.8986 
Epoch 00090 | Loss 0.2943 | Accuracy 0.9030 
Epoch 00089 | Loss 0.2863 | Accuracy 0.9047 
Epoch 00088 | Loss 0.2824 | Accuracy 0.9074 
Epoch 00087 | Loss 0.2761 | Accuracy 0.8989 
Epoch 00086 | Loss 0.2773 | Accuracy 0.9081 
Epoch 00085 | Loss 0.2711 | Accuracy 0.9060 
Epoch 00084 | Loss 0.2727 | Accuracy 0.9074 
Epoch 00083 | Loss 0.2657 | Accuracy 0.9072 
Epoch 00082 | Loss 0.2589 | Accuracy 0.9087 
Epoch 00081 | Loss 0.2556 | Accuracy 0.9068 
Epoch 00080 | Loss 0.2561 | Accuracy 0.9104 
Epoch 00079 | Loss 0.2549 | Accuracy 0.9016 
Epoch 00078 | Loss 0.2651 | Accuracy 0.8744 
Epoch 00077 | Loss 0.2888 | Accuracy 0.9107 
Epoch 00076 | Loss 0.2492 | Accuracy 0.9102 
Epoch 00075 | Loss 0.2455 | Accuracy 0.9063 
Epoch 00074 | Loss 0.2471 | Accuracy 0.9093 
Epoch 00073 | Loss 0.2495 | Accuracy 0.9061 
Epoch 00072 | Loss 0.2455 | Accuracy 0.9105 
Epoch 00071 | Loss 0.2404 | Accuracy 0.9068 
Epoch 00070 | Loss 0.2469 | Accuracy 0.9030 
Epoch 00069 | Loss 0.2533 | Accuracy 0.8900 
Epoch 00068 | Loss 0.2485 | Accuracy 0.9109 
Epoch 00067 | Loss 0.2351 | Accuracy 0.9128 
Epoch 00066 | Loss 0.2323 | Accuracy 0.9067 
Epoch 00065 | Loss 0.2385 | Accuracy 0.8873 
Epoch 00064 | Loss 0.2531 | Accuracy 0.9117 
Epoch 00063 | Loss 0.2316 | Accuracy 0.9127 
Epoch 00062 | Loss 0.2327 | Accuracy 0.9081 
Epoch 00061 | Loss 0.2498 | Accuracy 0.8967 
Epoch 00060 | Loss 0.2397 | Accuracy 0.9114 
Epoch 00059 | Loss 0.2273 | Accuracy 0.9139 
Epoch 00058 | Loss 0.2300 | Accuracy 0.9012 
Epoch 00057 | Loss 0.2389 | Accuracy 0.9071 
Epoch 00056 | Loss 0.2369 | Accuracy 0.8924 
Epoch 00055 | Loss 0.2403 | Accuracy 0.9126 
Epoch 00054 | Loss 0.2269 | Accuracy 0.9136 
Epoch 00053 | Loss 0.2242 | Accuracy 0.9110 
Epoch 00052 | Loss 0.2262 | Accuracy 0.9147 
Epoch 00051 | Loss 0.2207 | Accuracy 0.9125 
Epoch 00050 | Loss 0.2251 | Accuracy 0.9138 
Epoch 00049 | Loss 0.2291 | Accuracy 0.9087 
Epoch 00048 | Loss 0.2292 | Accuracy 0.9144 
Epoch 00047 | Loss 0.2209 | Accuracy 0.9089 
Epoch 00046 | Loss 0.2257 | Accuracy 0.9111 
Epoch 00045 | Loss 0.2240 | Accuracy 0.9028 
Epoch 00044 | Loss 0.2373 | Accuracy 0.9106 
Epoch 00043 | Loss 0.2204 | Accuracy 0.9000 
Epoch 00042 | Loss 0.2313 | Accuracy 0.9002 
Epoch 00041 | Loss 0.2306 | Accuracy 0.9096 
Epoch 00040 | Loss 0.2225 | Accuracy 0.9128 
Epoch 00039 | Loss 0.2159 | Accuracy 0.9120 
Epoch 00038 | Loss 0.2219 | Accuracy 0.9060 
Epoch 00037 | Loss 0.2267 | Accuracy 0.9097 
Epoch 00036 | Loss 0.2190 | Accuracy 0.9024 
Epoch 00035 | Loss 0.2224 | Accuracy 0.9049 
Epoch 00034 | Loss 0.2289 | Accuracy 0.9103 
Epoch 00033 | Loss 0.2196 | Accuracy 0.9112 
Epoch 00032 | Loss 0.2149 | Accuracy 0.9151 
Epoch 00031 | Loss 0.2128 | Accuracy 0.9042 
Epoch 00030 | Loss 0.2225 | Accuracy 0.9017 
Epoch 00029 | Loss 0.2264 | Accuracy 0.8996 
Epoch 00028 | Loss 0.2359 | Accuracy 0.8998 
Epoch 00027 | Loss 0.2258 | Accuracy 0.9131 
Epoch 00026 | Loss 0.2164 | Accuracy 0.9030 
Epoch 00025 | Loss 0.2239 | Accuracy 0.9122 
Epoch 00024 | Loss 0.2112 | Accuracy 0.9117 
Epoch 00023 | Loss 0.2091 | Accuracy 0.9152 
Epoch 00022 | Loss 0.2106 | Accuracy 0.9065 
Epoch 00021 | Loss 0.2168 | Accuracy 0.9123 
Epoch 00020 | Loss 0.2123 | Accuracy 0.9099 
Epoch 00019 | Loss 0.2120 | Accuracy 0.9122 
Epoch 00018 | Loss 0.2109 | Accuracy 0.9140 
Epoch 00017 | Loss 0.2200 | Accuracy 0.9089 
Epoch 00016 | Loss 0.2302 | Accuracy 0.9155 
Epoch 00015 | Loss 0.2100 | Accuracy 0.9139 
Epoch 00014 | Loss 0.2105 | Accuracy 0.9134 
Epoch 00013 | Loss 0.2088 | Accuracy 0.9143 
Epoch 00012 | Loss 0.2099 | Accuracy 0.9076 
Epoch 00011 | Loss 0.2192 | Accuracy 0.9102 
Epoch 00010 | Loss 0.2129 | Accuracy 0.9011 
Epoch 00009 | Loss 0.2320 | Accuracy 0.9100 
Epoch 00008 | Loss 0.2209 | Accuracy 0.8958 
Epoch 00007 | Loss 0.2219 | Accuracy 0.9126 
Epoch 00006 | Loss 0.2105 | Accuracy 0.9115 
Epoch 00005 | Loss 0.2065 | Accuracy 0.9103 
Epoch 00004 | Loss 0.2086 | Accuracy 0.9126 
Epoch 00003 | Loss 0.2041 | Accuracy 0.9152 
Epoch 00002 | Loss 0.2046 | Accuracy 0.9075 
Epoch 00001 | Loss 0.2115 | Accuracy 0.9135 
Epoch 00000 | Loss 0.2050 | Accuracy 0.8995 
Test Accuracy 0.7673
2024-11-09 01:00:33 Dataset ogbn-products, Batch size 1024, Hybrid 1, Epochs 0

Epoch 00100 | Loss 2.8702 | Accuracy 0.4163 
Epoch 00098 | Loss 1.6896 | Accuracy 0.4948 
Epoch 00097 | Loss 1.5676 | Accuracy 0.5056 
Epoch 00096 | Loss 1.5277 | Accuracy 0.5173 
Epoch 00095 | Loss 1.5045 | Accuracy 0.5159 
Epoch 00094 | Loss 1.4898 | Accuracy 0.5230 
Epoch 00093 | Loss 1.4805 | Accuracy 0.5239 
Epoch 00092 | Loss 1.4724 | Accuracy 0.5284 
Epoch 00091 | Loss 1.4660 | Accuracy 0.5279 
Epoch 00090 | Loss 1.4623 | Accuracy 0.5254 
Epoch 00089 | Loss 1.4576 | Accuracy 0.5317 
Epoch 00088 | Loss 1.4547 | Accuracy 0.5284 
Epoch 00087 | Loss 1.4514 | Accuracy 0.5335 
Epoch 00086 | Loss 1.4485 | Accuracy 0.5316 
Epoch 00085 | Loss 1.4468 | Accuracy 0.5269 
Epoch 00084 | Loss 1.4443 | Accuracy 0.5278 
Epoch 00083 | Loss 1.4417 | Accuracy 0.5327 
Epoch 00082 | Loss 1.4404 | Accuracy 0.5301 
Epoch 00081 | Loss 1.4386 | Accuracy 0.5355 
Epoch 00080 | Loss 1.4380 | Accuracy 0.5357 
Epoch 00079 | Loss 1.4363 | Accuracy 0.5308 
Epoch 00078 | Loss 1.4351 | Accuracy 0.5373 
Epoch 00077 | Loss 1.4343 | Accuracy 0.5373 
Epoch 00076 | Loss 1.4324 | Accuracy 0.5381 
Epoch 00075 | Loss 1.4318 | Accuracy 0.5337 
Epoch 00074 | Loss 1.4317 | Accuracy 0.5360 
Epoch 00073 | Loss 1.4295 | Accuracy 0.5366 
Epoch 00072 | Loss 1.4293 | Accuracy 0.5393 
Epoch 00071 | Loss 1.4288 | Accuracy 0.5388 
Epoch 00070 | Loss 1.4281 | Accuracy 0.5330 
Epoch 00069 | Loss 1.4271 | Accuracy 0.5354 
Epoch 00068 | Loss 1.4268 | Accuracy 0.5334 
Epoch 00067 | Loss 1.4253 | Accuracy 0.5365 
Epoch 00066 | Loss 1.4245 | Accuracy 0.5379 
Epoch 00065 | Loss 1.4250 | Accuracy 0.5346 
Epoch 00064 | Loss 1.4239 | Accuracy 0.5370 
Epoch 00063 | Loss 1.4240 | Accuracy 0.5404 
Epoch 00062 | Loss 1.4228 | Accuracy 0.5402 
Epoch 00061 | Loss 1.4220 | Accuracy 0.5351 
Epoch 00060 | Loss 1.4209 | Accuracy 0.5391 
Epoch 00059 | Loss 1.4218 | Accuracy 0.5314 
Epoch 00058 | Loss 1.4209 | Accuracy 0.5398 
Epoch 00057 | Loss 1.4205 | Accuracy 0.5388 
